nota_real,nota_detectada,f0_hz,error_cents,acierto
Do4,Do4,261.6893600013196,0.42209214087121,True
Do#4,Do#4,277.1137269148394,-0.43041617440230545,True
Re4,Re4,293.64298375104215,-0.12842837661355813,True
Re#4,Re#4,311.06288778348636,-0.35669198994140827,True
Mi4,Mi4,329.61814771728615,-0.04941866031324439,True
Fa4,Fa4,349.16776480667664,-0.2997780146367498,True
Fa#4,Fa#4,370.0506368348162,0.2630104830039745,True
Sol4,Sol4,392.0589560621242,0.28051147293117895,True
Sol#4,Sol#4,415.31814232637095,0.056044697249493375,True
La4,La4,439.9297107904423,-0.2765836217027207,True
La#4,La#4,466.09288740566046,-0.26323154039895397,True
Si4,Si4,493.8299808742675,-0.18691671427157247,True
