snr_db,tasa_reconocimiento,error_max_cents,error_medio_cents
40,1.0,0.4317084535320976,0.2509848419778853
30,1.0,0.43398941549693837,0.2511628010176054
20,1.0,0.4394244208155726,0.2511824622050865
10,1.0,0.4599659000408369,0.2508206206036165
5,1.0,0.5054055500317355,0.25452647093378045
0,1.0,0.6376703578306773,0.2510125630731413
-10,1.0,0.8665921375152479,0.2806196252444159
-20,0.6833333333333333,2490.618327106799,643.898064571861
-30,0.08333333333333333,3058.9782047736526,1853.5301723621703
